Human_ENSEMBL,Human_GeneName,Zebrafish_ENSEMBL,Zebrafish_GeneName
ENSG00000165246,NLGN4Y,ENSDARG00000077761,nlgn4xb
ENSG00000165246,NLGN4Y,ENSDARG00000079455,nlgn4xa
ENSG00000280969,RPS4Y2,ENSDARG00000014690,rps4x
ENSG00000099715,PCDH11Y,ENSDARG00000098652,pcdh11
ENSG00000172352,CDY1B,ENSDARG00000038985,cdyl
ENSG00000172288,CDY1,ENSDARG00000038985,cdyl
ENSG00000238074,TSPY9,ENSDARG00000005015,tspy
ENSG00000238074,TSPY9,ENSDARG00000070560,nap1l4a
ENSG00000233803,TSPY4,ENSDARG00000005015,tspy
ENSG00000233803,TSPY4,ENSDARG00000070560,nap1l4a
ENSG00000229549,TSPY8,ENSDARG00000005015,tspy
ENSG00000229549,TSPY8,ENSDARG00000070560,nap1l4a
ENSG00000228927,TSPY3,ENSDARG00000005015,tspy
ENSG00000228927,TSPY3,ENSDARG00000070560,nap1l4a
ENSG00000154639,CXADR,ENSDARG00000043658,cxadr
ENSG00000102699,PARP4,ENSDARG00000069934,parp4
ENSG00000027001,MIPEP,ENSDARG00000055344,mipep
ENSG00000027001,MIPEP,ENSDARG00000055339,si:ch73-1a9.4
ENSG00000142207,URB1,ENSDARG00000060308,urb1
ENSG00000102781,KATNAL1,ENSDARG00000099156,katnal1
ENSG00000154721,JAM2,ENSDARG00000079071,jam2b
ENSG00000154721,JAM2,ENSDARG00000058996,jam2a
ENSG00000236444,UBE2L5,ENSDARG00000027141,ube2l3b
ENSG00000236444,UBE2L5,ENSDARG00000112087,ube2l3a
ENSG00000132952,USPL1,ENSDARG00000034825,uspl1
ENSG00000189403,HMGB1,ENSDARG00000099175,hmgb1a
ENSG00000189403,HMGB1,ENSDARG00000030479,hmgb1b
ENSG00000243927,MRPS6,ENSDARG00000039543,mrps6
ENSG00000102753,KPNA3,ENSDARG00000052641,kpna3
ENSG00000198743,SLC5A3,ENSDARG00000010376,slc5a3a
ENSG00000198743,SLC5A3,ENSDARG00000077812,slc5a3b
ENSG00000159259,CHAF1B,ENSDARG00000056473,chaf1b
ENSG00000165475,CRYL1,ENSDARG00000003675,cryl1
ENSG00000156304,SCAF4,ENSDARG00000018854,scaf4b
ENSG00000156304,SCAF4,ENSDARG00000077093,scaf4a
ENSG00000102547,CAB39L,ENSDARG00000036658,cab39l
ENSG00000120675,DNAJC15,ENSDARG00000038309,dnajc15
ENSG00000132975,GPR12,ENSDARG00000062934,gpr12
ENSG00000154654,NCAM2,ENSDARG00000017466,ncam2
ENSG00000154654,NCAM2,ENSDARG00000098523,NCAM2
ENSG00000132970,WASF3,ENSDARG00000062948,wasf3b
ENSG00000132970,WASF3,ENSDARG00000059466,wasf3a
ENSG00000156284,CLDN8,ENSDARG00000099950,cldn17
ENSG00000154642,C21orf91,ENSDARG00000030803,C10H21orf91
ENSG00000133110,POSTN,ENSDARG00000104267,postnb
ENSG00000133110,POSTN,ENSDARG00000043806,postna
ENSG00000159256,MORC3,ENSDARG00000056679,morc3a
ENSG00000159086,PAXBP1,ENSDARG00000062361,paxbp1
ENSG00000205726,ITSN1,ENSDARG00000000086,itsn1
ENSG00000102531,FNDC3A,ENSDARG00000105503,fndc3a
ENSG00000158270,COLEC12,ENSDARG00000061140,colec12
ENSG00000141401,IMPA2,ENSDARG00000059411,impa2
ENSG00000183722,LHFPL6,ENSDARG00000004363,lhfpl6
ENSG00000183722,LHFPL6,ENSDARG00000115101,
ENSG00000168461,RAB31,ENSDARG00000115832,LO018490.1
ENSG00000023516,AKAP11,ENSDARG00000075435,akap11
ENSG00000204899,MZT1,ENSDARG00000096668,MZT1
ENSG00000120685,PROSER1,ENSDARG00000086302,proser1
ENSG00000083535,PIBF1,ENSDARG00000013006,pibf1
ENSG00000176105,YES1,ENSDARG00000005941,clul1
ENSG00000136122,BORA,ENSDARG00000042688,bora
ENSG00000197705,KLHL14,ENSDARG00000045275,klhl14
ENSG00000122034,GTF3A,ENSDARG00000030267,gtf3aa
ENSG00000122034,GTF3A,ENSDARG00000071583,gtf3ab
ENSG00000178127,NDUFV2,ENSDARG00000013044,ndufv2
ENSG00000154889,MPPE1,ENSDARG00000045416,mppe1
ENSG00000150893,FREM2,ENSDARG00000102626,frem2b
ENSG00000136111,TBC1D4,ENSDARG00000075156,tbc1d4
ENSG00000101489,CELF4,ENSDARG00000070045,celf4
ENSG00000136158,SPRY2,ENSDARG00000078308,spry2
ENSG00000120686,UFM1,ENSDARG00000043857,ufm1
ENSG00000102554,KLF5,ENSDARG00000062106,klf5b
ENSG00000102554,KLF5,ENSDARG00000015506,pibf1
ENSG00000134882,UBAC2,ENSDARG00000093065,ubac2
ENSG00000133119,RFC3,ENSDARG00000055969,rfc3
ENSG00000132874,SLC14A2,ENSDARG00000051914,slc14a2
ENSG00000152192,POU4F1,ENSDARG00000005559,pou4f1
ENSG00000182957,SPATA13,ENSDARG00000062837,spata13
ENSG00000017797,RALBP1,ENSDARG00000078653,ralbp1
ENSG00000141380,SS18,ENSDARG00000002970,ss18
ENSG00000241837,ATP5PO,ENSDARG00000001788,atp5po
ENSG00000188811,NHLRC3,ENSDARG00000102127,NHLRC3
ENSG00000154645,CHODL,ENSDARG00000034528,chodl
ENSG00000102837,OLFM4,ENSDARG00000087625,si:ch211-173a9.6
ENSG00000102837,OLFM4,ENSDARG00000041960,si:ch211-173a9.6
ENSG00000065150,IPO5,ENSDARG00000040245,kpnb3
ENSG00000160307,S100B,ENSDARG00000057598,s100b
ENSG00000156273,BACH1,ENSDARG00000062553,bach1a
ENSG00000156273,BACH1,ENSDARG00000002196,bach1b
ENSG00000101745,ANKRD12,ENSDARG00000052419,ankrd12
ENSG00000152242,ARK2N,ENSDARG00000046071,ARK2N
ENSG00000157551,KCNJ15,ENSDARG00000058988,KCNJ15
ENSG00000139734,DIAPH3,ENSDARG00000090785,diaph3
ENSG00000141425,RPRD1A,ENSDARG00000104861,rprd1a
ENSG00000205758,CRYZL1,ENSDARG00000026902,cryzl1
ENSG00000156239,N6AMT1,ENSDARG00000115421,n6amt1
ENSG00000154736,ADAMTS5,ENSDARG00000100307,adamts5
ENSG00000283904,MIR155,ENSDARG00000081781,dre-mir-155
ENSG00000251778,,ENSDARG00000112208,FP074902.4
ENSG00000251778,,ENSDARG00000113464,FP074902.5
ENSG00000251778,,ENSDARG00000110189,FP074902.3
ENSG00000157617,C2CD2,ENSDARG00000105000,c2cd2
ENSG00000168234,TTC39C,ENSDARG00000102308,ttc39c
ENSG00000118946,PCDH17,ENSDARG00000027041,pcdh17
ENSG00000152484,USP12,ENSDARG00000078109,usp12a
ENSG00000152484,USP12,ENSDARG00000045343,usp46
ENSG00000152484,USP12,ENSDARG00000074367,usp12b
ENSG00000141639,MAPK4,ENSDARG00000110581,mapk4
ENSG00000173276,ZBTB21,ENSDARG00000043285,zbtb21
ENSG00000141622,ARK2C,ENSDARG00000077906,rnf165a
ENSG00000141622,ARK2C,ENSDARG00000078817,rnf165b
ENSG00000099917,MED15,ENSDARG00000014292,med15
ENSG00000159228,CBR1,ENSDARG00000036587,cbr1
ENSG00000139514,SLC7A1,ENSDARG00000100227,SLC7A1
ENSG00000139514,SLC7A1,ENSDARG00000016439,slc7a1a
ENSG00000177511,ST8SIA3,ENSDARG00000045301,st8sia3
ENSG00000176641,RNF152,ENSDARG00000087782,rnf152
ENSG00000159231,CBR3,ENSDARG00000043562,zgc:65997
ENSG00000159231,CBR3,ENSDARG00000016213,zmp:0000001048
ENSG00000159231,CBR3,ENSDARG00000099873,zgc:163083
ENSG00000159231,CBR3,ENSDARG00000101749,zgc:92161
ENSG00000159231,CBR3,ENSDARG00000102720,zgc:123284
ENSG00000159231,CBR3,ENSDARG00000104829,zgc:112146
ENSG00000159231,CBR3,ENSDARG00000021149,cbr1l
ENSG00000159231,CBR3,ENSDARG00000035129,zgc:101858
ENSG00000088386,SLC15A1,ENSDARG00000100315,slc15a1a
ENSG00000088386,SLC15A1,ENSDARG00000044528,slc15a1b
ENSG00000159216,RUNX1,ENSDARG00000087646,runx1
ENSG00000166979,EVA1C,ENSDARG00000056024,eva1c
ENSG00000150907,FOXO1,ENSDARG00000061549,foxo1b
ENSG00000150907,FOXO1,ENSDARG00000099555,foxo1a
ENSG00000159079,CFAP298,ENSDARG00000035332,cfap298
ENSG00000041353,RAB27B,ENSDARG00000087762,rab27b
ENSG00000136152,COG3,ENSDARG00000101999,cog3
ENSG00000091164,TXNL1,ENSDARG00000011921,txnl1
ENSG00000136141,LRCH1,ENSDARG00000078778,lrch1
ENSG00000134030,CTIF,ENSDARG00000090617,ctif
ENSG00000154640,BTG3,ENSDARG00000069065,btg3
ENSG00000185721,DRG1,ENSDARG00000039345,drg1
ENSG00000102543,CDADC1,ENSDARG00000036650,cdadc1
ENSG00000141441,GAREM1,ENSDARG00000017242,garem
ENSG00000184900,SUMO3,ENSDARG00000035993,sumo3b
ENSG00000184900,SUMO3,ENSDARG00000028119,sumo3a
ENSG00000083520,DIS3,ENSDARG00000060559,dis3
ENSG00000154719,MRPL39,ENSDARG00000041570,mrpl39
ENSG00000184828,ZBTB7C,ENSDARG00000100985,zbtb7c
ENSG00000176635,HORMAD2,ENSDARG00000040254,hormad1
ENSG00000155307,SAMSN1,ENSDARG00000054543,samsn1a
ENSG00000155307,SAMSN1,ENSDARG00000078647,samsn1b
ENSG00000100365,NCF4,ENSDARG00000040812,ncf4
ENSG00000141665,FBXO15,ENSDARG00000016897,fbxo15
ENSG00000141665,FBXO15,ENSDARG00000029848,zgc:161973
ENSG00000133103,COG6,ENSDARG00000103149,cog6
ENSG00000183145,RIPPLY3,ENSDARG00000036974,ripply3
ENSG00000198089,SFI1,ENSDARG00000053992,sfi1
ENSG00000160208,RRP1B,ENSDARG00000103337,rrp1
ENSG00000081138,CDH7,ENSDARG00000023542,cdh7a
ENSG00000081138,CDH7,ENSDARG00000017649,cdh7b
ENSG00000160209,PDXK,ENSDARG00000088959,pdxka
ENSG00000160209,PDXK,ENSDARG00000036546,pdxkb
ENSG00000134779,TPGS2,ENSDARG00000011926,tpgs2
ENSG00000134871,COL4A2,ENSDARG00000104110,col4a2
ENSG00000160214,RRP1,ENSDARG00000103337,rrp1
ENSG00000184564,SLITRK6,ENSDARG00000098769,slitrk6
ENSG00000166479,TMX3,ENSDARG00000038894,tmx3a
ENSG00000166479,TMX3,ENSDARG00000088466,tmx3b
ENSG00000184226,PCDH9,ENSDARG00000105441,pcdh11
ENSG00000184226,PCDH9,ENSDARG00000063264,pcdh9
ENSG00000160216,AGPAT3,ENSDARG00000036549,agpat3
ENSG00000100346,CACNA1I,ENSDARG00000115741,LO017974.1
ENSG00000100346,CACNA1I,ENSDARG00000070522,cacna1ia
ENSG00000100346,CACNA1I,ENSDARG00000096307,cacna1ib
ENSG00000160218,TRAPPC10,ENSDARG00000098118,trappc10
ENSG00000175354,PTPN2,ENSDARG00000016481,ptpn2a
ENSG00000175354,PTPN2,ENSDARG00000035986,ptpn2b
ENSG00000241945,PWP2,ENSDARG00000037109,pwp2h
ENSG00000182968,SOX1,ENSDARG00000069866,sox1a
ENSG00000182968,SOX1,ENSDARG00000008131,sox1b
ENSG00000041515,MYO16,ENSDARG00000078582,myo16
ENSG00000157540,DYRK1A,ENSDARG00000023814,dyrk1ab
ENSG00000157540,DYRK1A,ENSDARG00000063570,dyrk1aa
ENSG00000081913,PHLPP1,ENSDARG00000078694,phlpp1
ENSG00000100354,TNRC6B,ENSDARG00000074161,tnrc6b
ENSG00000100354,TNRC6B,ENSDARG00000076389,si:dkey-217f16.6
ENSG00000100354,TNRC6B,ENSDARG00000079723,si:dkey-46g23.1
ENSG00000187498,COL4A1,ENSDARG00000055009,col4a1
ENSG00000100294,MCAT,ENSDARG00000016613,mcat
ENSG00000100294,MCAT,ENSDARG00000096473,mcat
ENSG00000141428,C18orf21,ENSDARG00000077407,si:dkey-184p18.2
ENSG00000141956,PRDM15,ENSDARG00000098867,PRDM15
ENSG00000100307,CBX7,ENSDARG00000087181,cbx7b
ENSG00000100307,CBX7,ENSDARG00000038025,cbx7a
ENSG00000171873,ADRA1D,ENSDARG00000024101,adra1d
ENSG00000101282,RSPO4,ENSDARG00000038593,rspo4
ENSG00000100344,PNPLA3,ENSDARG00000102020,pnpla3
ENSG00000101280,ANGPT4,ENSDARG00000076787,angpt4
ENSG00000141424,SLC39A6,ENSDARG00000068143,slc39a6
ENSG00000198081,ZBTB14,ENSDARG00000100607,zbtb38
ENSG00000149346,SLX4IP,ENSDARG00000039069,slx4ip
ENSG00000185950,IRS2,ENSDARG00000075282,irs2b
ENSG00000185950,IRS2,ENSDARG00000037099,irs2a
ENSG00000125820,NKX2-2,ENSDARG00000101549,nkx2.2b
ENSG00000166573,GALR1,ENSDARG00000005522,galr1a
ENSG00000125845,BMP2,ENSDARG00000013409,bmp2a
ENSG00000125845,BMP2,ENSDARG00000041430,bmp2b
ENSG00000101327,PDYN,ENSDARG00000087798,pdyn
ENSG00000054611,TBC1D22A,ENSDARG00000045510,tbc1d22a
ENSG00000198795,ZNF521,ENSDARG00000116769,ZNF521
ENSG00000133115,STOML3,ENSDARG00000057035,stoml3b
ENSG00000133115,STOML3,ENSDARG00000079914,stoml3a
ENSG00000125898,FAM110A,ENSDARG00000015293,fam110a
ENSG00000088448,ANKRD10,ENSDARG00000004771,ankrd10b
ENSG00000088448,ANKRD10,ENSDARG00000037100,ankrd10a
ENSG00000173404,INSM1,ENSDARG00000053301,insm1b
ENSG00000173404,INSM1,ENSDARG00000091756,insm1a
ENSG00000154059,IMPACT,ENSDARG00000043288,impact
ENSG00000204442,NALF1,ENSDARG00000075858,fam155a
ENSG00000184497,TMEM255B,ENSDARG00000076050,si:dkey-283j8.1
ENSG00000132640,BTBD3,ENSDARG00000087517,btbd3b
ENSG00000141668,CBLN2,ENSDARG00000077151,cbln2b
ENSG00000141668,CBLN2,ENSDARG00000074601,cbln2a
ENSG00000160199,PKNOX1,ENSDARG00000018765,pknox1.1
ENSG00000160199,PKNOX1,ENSDARG00000036542,pknox1.2
ENSG00000175198,PCCA,ENSDARG00000028982,pcca
ENSG00000160200,CBS,ENSDARG00000010946,cbsb
ENSG00000160200,CBS,ENSDARG00000053500,cbsa
ENSG00000125816,NKX2-4,ENSDARG00000104107,nkx2.4b
ENSG00000125816,NKX2-4,ENSDARG00000075107,nkx2.4a
ENSG00000089063,TMEM230,ENSDARG00000069674,tmem230b
ENSG00000089063,TMEM230,ENSDARG00000027687,tmem230a
ENSG00000100426,ZBED4,ENSDARG00000024306,zbed4
ENSG00000100316,RPL3,ENSDARG00000003599,rpl3
ENSG00000126216,TUBGCP3,ENSDARG00000029133,tubgcp3
ENSG00000125851,PCSK2,ENSDARG00000019451,pcsk2
ENSG00000197971,MBP,ENSDARG00000089413,mbpb
ENSG00000197971,MBP,ENSDARG00000036186,mbpa
ENSG00000125815,CST8,ENSDARG00000074425,si:busm1-57f23.1
ENSG00000075218,GTSE1,ENSDARG00000013719,gtse1
ENSG00000160202,CRYAA,ENSDARG00000053502,cryaa
ENSG00000101230,ISM1,ENSDARG00000020541,ism1
ENSG00000170367,CST5,ENSDARG00000074425,si:busm1-57f23.1
ENSG00000160201,U2AF1,ENSDARG00000015325,u2af1
ENSG00000101463,SYNDIG1,ENSDARG00000100751,SYNDIG1
ENSG00000185974,GRK1,ENSDARG00000058803,grk1a
ENSG00000088930,XRN2,ENSDARG00000101900,xrn2
ENSG00000139797,RNF113B,ENSDARG00000037930,rnf113a
ENSG00000152193,OBI1,ENSDARG00000090904,CABZ01046895.1
ENSG00000122042,UBL3,ENSDARG00000099532,ubl3a
ENSG00000185917,SETD4,ENSDARG00000036592,setd4
ENSG00000102539,MLNR,ENSDARG00000091207,mlnr
ENSG00000125870,SNRPB2,ENSDARG00000039424,snrpb2
ENSG00000077984,CST7,ENSDARG00000101340,CABZ01117840.1
ENSG00000134884,ARGLU1,ENSDARG00000019223,arglu1a
ENSG00000134884,ARGLU1,ENSDARG00000018319,arglu1b
ENSG00000101474,APMAP,ENSDARG00000017422,apmap
ENSG00000152767,FARP1,ENSDARG00000112056,CABZ01066921.1
ENSG00000125864,BFSP1,ENSDARG00000074919,BFSP1
ENSG00000134490,TMEM241,ENSDARG00000104905,CABZ01075521.1
ENSG00000134490,TMEM241,ENSDARG00000090685,tmem241
ENSG00000173638,SLC19A1,ENSDARG00000033993,slc19a1
ENSG00000149435,GGTLC1,ENSDARG00000023526,ggt1a
ENSG00000149435,GGTLC1,ENSDARG00000018342,ggt1b
ENSG00000149435,GGTLC1,ENSDARG00000075055,ggt1l2.1
ENSG00000149435,GGTLC1,ENSDARG00000075541,si:ch73-236c18.3
ENSG00000149435,GGTLC1,ENSDARG00000092350,si:dkey-222h21.12
ENSG00000149435,GGTLC1,ENSDARG00000087054,ggt1l2.2
ENSG00000149435,GGTLC1,ENSDARG00000091254,si:ch73-59p9.2
ENSG00000149435,GGTLC1,ENSDARG00000098576,CU914631.1
ENSG00000170369,CST2,ENSDARG00000074425,si:busm1-57f23.1
ENSG00000100347,SAMM50,ENSDARG00000039681,samm50l
ENSG00000100347,SAMM50,ENSDARG00000045814,samm50
ENSG00000182871,COL18A1,ENSDARG00000095901,col18a1b
ENSG00000182871,COL18A1,ENSDARG00000036558,col18a1a
ENSG00000125834,STK35,ENSDARG00000086856,stk35
ENSG00000125834,STK35,ENSDARG00000057497,stk35l
ENSG00000198646,NCOA6,ENSDARG00000071272,ncoa6
ENSG00000075234,TTC38,ENSDARG00000042188,ttc38
ENSG00000134759,ELP2,ENSDARG00000017199,elp2
ENSG00000207051,SNORA27,ENSDARG00000084628,CU693368.1
ENSG00000212377,,ENSDARG00000080172,BX005203.1
ENSG00000212377,,ENSDARG00000085594,BX005203.2
ENSG00000100372,SLC25A17,ENSDARG00000061684,slc25a17
ENSG00000199282,,ENSDARG00000084209,BX927310.2
ENSG00000199282,,ENSDARG00000081895,BX927310.1
ENSG00000251715,,ENSDARG00000084828,BX890562.1
ENSG00000199381,RNU6-79P,ENSDARG00000085130,BX470072.1
ENSG00000201847,SNORD31B,ENSDARG00000082440,AL954715.5
ENSG00000201847,SNORD31B,ENSDARG00000080531,AL954715.2
ENSG00000201847,SNORD31B,ENSDARG00000082087,AL954715.4
ENSG00000253094,SNORD36,ENSDARG00000080936,SNORD36A
ENSG00000136156,ITM2B,ENSDARG00000041505,itm2bb
ENSG00000136156,ITM2B,ENSDARG00000007098,itm2ba
ENSG00000172296,SPTLC3,ENSDARG00000030743,sptlc3
ENSG00000100106,TRIOBP,ENSDARG00000075870,triobpa
ENSG00000100106,TRIOBP,ENSDARG00000006385,triobpb
ENSG00000204977,TRIM13,ENSDARG00000010010,trim13
ENSG00000283785,MIR15A,ENSDARG00000081837,dre-mir-15a-2
ENSG00000283785,MIR15A,ENSDARG00000080168,dre-mir-15a-1
ENSG00000136104,RNASEH2B,ENSDARG00000005128,rnaseh2b
ENSG00000207503,,ENSDARG00000081937,CR936321.3
ENSG00000154734,ADAMTS1,ENSDARG00000103519,adamts1
ENSG00000100304,TTLL12,ENSDARG00000103537,ttll12
ENSG00000159055,MIS18A,ENSDARG00000035333,mis18a
ENSG00000150637,CD226,ENSDARG00000045391,cd226
ENSG00000160193,WDR4,ENSDARG00000090581,wdr4
ENSG00000186654,PRR5,ENSDARG00000115971,CU856344.1
ENSG00000186654,PRR5,ENSDARG00000075977,prr5a
ENSG00000197563,PIGN,ENSDARG00000077532,pign
ENSG00000160194,NDUFV3,ENSDARG00000090389,ndufv3
ENSG00000089057,SLC23A2,ENSDARG00000017365,slc23a2
ENSG00000154727,GABPA,ENSDARG00000069289,gabpa
ENSG00000198355,PIM3,ENSDARG00000055129,pim3
ENSG00000159212,CLIC6,ENSDARG00000099108,clic6
ENSG00000205593,DENND6B,ENSDARG00000011605,dennd6b
ENSG00000185808,PIGP,ENSDARG00000038805,pigp
ENSG00000101435,CST9L,ENSDARG00000074425,si:busm1-57f23.1
ENSG00000274391,TPTE,ENSDARG00000056985,tpte
ENSG00000100422,CERK,ENSDARG00000069169,cerk
ENSG00000089123,TASP1,ENSDARG00000060580,tasp1
ENSG00000100239,PPP6R2,ENSDARG00000045540,ppp6r2a
ENSG00000100239,PPP6R2,ENSDARG00000069654,ppp6r2b
ENSG00000149639,SOGA1,ENSDARG00000063075,soga1
ENSG00000159082,SYNJ1,ENSDARG00000025011,synj1
ENSG00000101445,PPP1R16B,ENSDARG00000079860,ppp1r16b
ENSG00000101452,DHX35,ENSDARG00000063419,DHX35
ENSG00000150510,FAM124A,ENSDARG00000075264,FAM124A
ENSG00000189167,ZAR1L,ENSDARG00000055973,zar1l
ENSG00000185272,RBM11,ENSDARG00000090202,rbm11
ENSG00000155304,HSPA13,ENSDARG00000040984,hspa13
ENSG00000183527,PSMG1,ENSDARG00000040620,psmg1
ENSG00000133477,FAM83F,ENSDARG00000038012,fam83fa
ENSG00000133477,FAM83F,ENSDARG00000104188,fam83fb
ENSG00000133477,FAM83F,ENSDARG00000089489,fam83e
ENSG00000100362,PVALB,ENSDARG00000034705,pvalb7
ENSG00000100362,PVALB,ENSDARG00000009311,pvalb6
ENSG00000124191,TOX2,ENSDARG00000100055,tox2
ENSG00000180138,CSNK1A1L,ENSDARG00000056019,ttbk1a
ENSG00000180138,CSNK1A1L,ENSDARG00000056659,ttbk1b
ENSG00000180138,CSNK1A1L,ENSDARG00000043026,ttbk2b
ENSG00000180138,CSNK1A1L,ENSDARG00000005670,ttbk2a
ENSG00000133111,RFXAP,ENSDARG00000076891,rfxap
ENSG00000182858,ALG12,ENSDARG00000041199,alg12
ENSG00000133107,TRPC4,ENSDARG00000070507,trpc4a
ENSG00000133107,TRPC4,ENSDARG00000102017,trpc4b
ENSG00000064655,EYA2,ENSDARG00000018984,eya2
ENSG00000100321,SYNGR1,ENSDARG00000103577,syngr1b
ENSG00000100321,SYNGR1,ENSDARG00000002564,syngr1a
ENSG00000100095,SEZ6L,ENSDARG00000100594,sez6l
ENSG00000062598,ELMO2,ENSDARG00000063527,elmo2
ENSG00000205581,HMGN1,ENSDARG00000087636,hmgn6
ENSG00000080618,CPB2,ENSDARG00000037144,cpb2
ENSG00000136167,LCP1,ENSDARG00000023188,lcp1
ENSG00000166342,NETO1,ENSDARG00000068483,neto1
ENSG00000166342,NETO1,ENSDARG00000071596,neto1l
ENSG00000133313,CNDP2,ENSDARG00000003931,cndp2
ENSG00000100360,IFT27,ENSDARG00000099279,ift27
ENSG00000182093,GET1,ENSDARG00000103007,rps3
ENSG00000102452,NALCN,ENSDARG00000001835,nalcn
ENSG00000100311,PDGFB,ENSDARG00000038139,pdgfbb
ENSG00000100311,PDGFB,ENSDARG00000086778,pdgfba
ENSG00000186732,MPPED1,ENSDARG00000088181,mpped1
ENSG00000042062,RIPOR3,ENSDARG00000020979,ripor3
ENSG00000183036,PCP4,ENSDARG00000110729,PCP4
ENSG00000183036,PCP4,ENSDARG00000053130,pcp4a
ENSG00000158480,SPATA2,ENSDARG00000063250,spata2
ENSG00000138964,PARVG,ENSDARG00000067711,parvg
ENSG00000101447,FAM83D,ENSDARG00000077883,fam83d
ENSG00000171587,DSCAM,ENSDARG00000024865,dscama
ENSG00000171587,DSCAM,ENSDARG00000028118,dscamb
ENSG00000197496,SLC2A10,ENSDARG00000090820,slc2a10
ENSG00000158445,KCNB1,ENSDARG00000060095,kcnb1
ENSG00000124249,KCNK15,ENSDARG00000077371,kcnk15
ENSG00000149654,CDH22,ENSDARG00000098824,cdh22
ENSG00000124226,RNF114,ENSDARG00000009886,rnf114
ENSG00000182240,BACE2,ENSDARG00000044781,bace2
ENSG00000128791,TWSG1,ENSDARG00000104244,twsg1a
ENSG00000128791,TWSG1,ENSDARG00000103580,CABZ01110379.1
ENSG00000134897,BIVM,ENSDARG00000061409,bivm
ENSG00000206052,DOK6,ENSDARG00000063032,dok6
ENSG00000100271,TTLL1,ENSDARG00000090778,ttll1
ENSG00000080189,SLC35C2,ENSDARG00000037517,slc35c2
ENSG00000183087,GAS6,ENSDARG00000007804,gas6
ENSG00000183421,RIPK4,ENSDARG00000043211,ripk4
ENSG00000160179,ABCG1,ENSDARG00000063475,abcg1
ENSG00000130943,PKDREJ,ENSDARG00000105344,pkd1l2a
ENSG00000130943,PKDREJ,ENSDARG00000101214,pkd1l2b
ENSG00000130943,PKDREJ,ENSDARG00000088121,pkd1l2b
ENSG00000130943,PKDREJ,ENSDARG00000030417,pkd1a
ENSG00000100124,ANKRD54,ENSDARG00000055743,ankrd54
ENSG00000136159,NUDT15,ENSDARG00000113961,nudt15
ENSG00000136146,MED4,ENSDARG00000041503,med4
ENSG00000207797,MIR187,ENSDARG00000082677,dre-mir-187
ENSG00000183943,PRKX,ENSDARG00000060716,prkx
ENSG00000207072,RNU6-39P,ENSDARG00000098956,CABZ01071845.1
